2024-2025 EĞİTİM ÖĞRETİM YILI ORTAOKUL FEN BİLİMLERİ DERSİ 6.SINIF ÇERÇEVE YILLIK PLANI;;;;;;;;;;
AY;HAFTA;"DERS
SAATİ";ÖĞRENME ALANI/ÜNİTE/TEMA;KONU;KAZANIM;KAZANIM AÇIKLAMASI;YÖNTEM VE TEKNİKLER;ÖLÇME VE DEĞERLENDİRME;BELİRLİ GÜN VE HAFTALAR;OKUL DIŞI ÖĞRENME
EYLÜL;"1. Hafta:
 9-13 Eylül";"4
";"1.ÜNİTE: GÜNEŞ SİSTEMİ VE
 TUTULMALAR";6.1.1. Güneş Sistemi;F.6.1.1.1. Güneş sistemindeki gezegenleri birbirleri ile karşılaştırır.;"F.6.1.1.1. 
a. Gezegenlerin temel özelliklerine (karasal, gazsal, iç gezegen, dış gezegen) değinilir.
b. Gezegenlerin uyduları olduğundan bahsedilir.
c. Gezegenlerin büyüklüklerine uzamsal olarak değinilir.
ç. Gezegenlerin Güneş’e olan uzaklık sıralamasına değinilir.
d. Meteor, gök taşı, asteroit kavramlarına değinilir.";Yöntem ve teknikler seçilirken kazanım, öğrenci özellikleri (hazırbulunuşluk düzeyleri, öğrenme stilleri, ilgi alanları vb.), öğretmenin ve konunun özellikleri, materyaller, maliyet, zaman, sınıf mevcudu ve okul türü farklılığı dikkate alınması gerekir. Öğretim sürecinde yer alan okul dışı öğrenme etkinlikleri, ders yılı başı okul zümre öğretmenleri toplantısında belirlenecektir. Seçilen yöntem ve tekniklere uygun olarak ölçme ve değerlendirme faaliyetlerinin de yapılandırılması eşgüdümlü bir şekilde yapılmalıdır. Öğrenme süreçlerinde değerlendirme faaliyetleri mümkün olduğu kadar süreci değerlendirecek biçimde tasarlanmalıdır.;"





















Ölçme ve değerlendirme yöntemleri kazanımın düzeyi, konu içeriği dikkate alınarak planlanmalıdır. Kazanıma ve konunun içeriğine uygun olarak belirlenen bu ölçme ve değerlendirme yöntemlerinden klasik ve tamamlayıcı (alternatif) ölçme ve değerlendirme yöntemleri birlikte kullanılarak öğrencinin bütüncül olarak değerlendirilmesi sağlanmalıdır. Ölçme ve değerlendirme çalışmalarında sadece sonuca odaklı değerlendirme yapılmamalı süreç değerlendirmeye yönelik ölçme etkinlikleri de planlanmalıdır, süreçte planlanan değerlendirmeler öğretimde ve öğrenmelerde bir eksiklik olup olmadığının tespit edilmesi ve giderilmesinde önemlidir. Kaynaştırma/Bütünleştirme yoluyla eğitim ve öğretimlerine devam eden öğrencilere yönelik ölçme değerlendirmede Bireyselleştirilmiş Eğitim Programı (BEP) esas alınır.";;"

Okul dışı öğrenme etkinlikleri, ders yılı başı okul zümre öğretmenleri toplantısında belirlenecektir.
Ortak sınavların yapılacağı tarihlerde sınav saati dışındaki derslerde yapılacak tekrar ve kazanım pekiştirme etkinlikleri ders yılı başı zümre öğretmenler kurulu toplantısında kararlaştırılacaktır."
;"2. Hafta:
 16-20 Eylül";"2+2
";"1.ÜNİTE: GÜNEŞ SİSTEMİ VE
 TUTULMALAR";"6.1.1. Güneş Sistemi

6.1.2. Güneş ve Ay Tutulmaları";"F.6.1.1.2. Güneş sistemindeki gezegenleri, Güneş’e yakınlıklarına göre sıralayarak bir model oluşturur.

F.6.1.2.1.Güneş tutulmasının nasıl oluştuğunu tahmin eder.";"F.6.1.2.1.
a. Güneş tutulması esnasında Ay’ın hangi evrede olduğuna değinilir.
b. Her ay Güneş tutulmasının olmadığına değinilir.";;;15 Temmuz Demokrasi ve Millî Birlik Günü;
;"3. Hafta:
 23-27 Eylül";"2+2
";"1.ÜNİTE: GÜNEŞ SİSTEMİ VE
 TUTULMALAR";6.1.2. Güneş ve Ay Tutulmaları;"F.6.1.2.1.Güneş tutulmasının nasıl oluştuğunu tahmin eder.

F.6.1.2.2. Ay tutulmasının nasıl oluştuğunu tahmin eder.
";"F.6.1.2.1.
a. Güneş tutulması esnasında Ay’ın hangi evrede olduğuna değinilir.
b. Her ay Güneş tutulmasının olmadığına değinilir.

F.6.1.2.2.
a. Ay tutulması esnasında Ay’ın hangi evrede olduğuna değinilir.
b. Her ay, Ay tutulmasının olmadığına değinilir.";;;;
EKİM;"4. Hafta:
 30 Eylül-4 Ekim";"2+2
";"1.ÜNİTE: GÜNEŞ SİSTEMİ VE
 TUTULMALAR

2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER";"6.1.2. Güneş ve Ay Tutulmaları

6.2.1. Destek ve Hareket Sistemi";"F.6.1.2.3. Güneş ve Ay tutulmasını temsil eden bir model oluşturur.

F.6.2.1.1. Destek ve hareket sistemine ait yapıları örneklerle açıklar.";"F.6.2.1.1.
a. Kemiklerin yapısına girilmeksizin kemik çeşitleri kısa, uzun ve yassı olarak verilir.
b. Eklem çeşitleri ayrıntılara girilmeksizin verilir.
c. Kas çeşitlerinin çalışma prensipleri (istemli - istemsiz) ve yorulma durumları çerçevesinde verilerek ayrıntılı yapısına girilmez.";;;;
;;;;;;;;;;
;"5. Hafta:
 7-11 Ekim";"2+2
";"2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER";"6.2.1. Destek ve Hareket Sistemi

6.2.2. Sindirim Sistemi";"F.6.2.1.1. Destek ve hareket sistemine ait yapıları örneklerle açıklar.

F.6.2.2.1. Sindirim sistemini oluşturan yapı ve organların görevlerini modeller kullanarak açıklar.";"F.6.2.1.1.
a. Kemiklerin yapısına girilmeksizin kemik çeşitleri kısa, uzun ve yassı olarak verilir.
b. Eklem çeşitleri ayrıntılara girilmeksizin verilir.
c. Kas çeşitlerinin çalışma prensipleri (istemli - istemsiz) ve yorulma durumları çerçevesinde verilerek ayrıntılı yapısına girilmez.
";;;;
;;;;;;;;;;
;"6. Hafta:
 14-18 Ekim";"2+2
";"2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER";"6.2.2. Sindirim Sistemi
";"F.6.2.2.2. Besinlerin kana geçebilmesi için fiziksel (mekanik) ve kimyasal sindirime uğraması gerektiği çıkarımını yapar.

F.6.2.2.3. Sindirime yardımcı organların görevlerini açıklar.";"F.6.2.2.2. 
a. Kimyasal sindirim denklemlerine girilmeden sadece kimyasal (mekanik) ve fiziksel sindirimin  tanımları verilir.
b. Kimyasal sindirimde enzimlerin görev aldığı belirtilir ancak yapıları, çalışma mekanizmaları ve  isimlerine değinilmez.

F.6.2.2.3.
Karaciğer ve pankreasın yapısına girilmeksizin sindirimdeki görevleri açıklanır ve salgıların ince bağırsağa döküldüğü belirtilir.";;;;
;"7. Hafta:
 21-25 Ekim";"2+1+1
";"2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER";"
6.2.3. Dolaşım Sistemi";"F.6.2.3.1. Dolaşım sistemini oluşturan yapı ve organların görevlerini model kullanarak açıklar.

F.6.2.3.2. Büyük ve küçük kan dolaşımını şema üzerinde inceleyerek bunların görevlerini açıklar.

F.6.2.3.3. Kanın yapısını ve görevlerini tanımlar.
";"F.6.2.3.1.
a. Kalbin dört odacığı, kalbi oluşturan yapılar ve isimleri verilmeden belirtilir.
b. Kalbi oluşturan yapıların ve kapakçıkların isimlerine yer verilmez.
c. Kalbin çalışma mekanizmasına değinilmez. 
ç. Nabız ve tansiyona değinilir.
d. Lenf dolaşımına değinilmez.

F.6.2.3.2.
Atardamar, toplardamar ve kılcal damarların ayrıntılı yapısına girilmeden görevleri belirtilir.

F.6.2.3.3.
a. Kan hücrelerinin yapısı verilmeden sadece görevleri açıklanır.
b. Alyuvarlarda hemoglobin ile gaz alışverişine değinilmez.";;;;
;"8. Hafta:
 28 Ekim-1 Kasım";SINAV HAFTASI;;;;;;;29 Ekim Cumhuriyet Bayramı;
;;"1+1+2
";"2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER";"6.2.3. Dolaşım Sistemi

6.2.4. Solunum Sistemi";"F.6.2.3.4. Kan grupları arasındaki kan alışverişini ifade eder.

F.6.2.3.5. Kan bağışının toplum açısından önemini değerlendirir.

F.6.2.4.1. Solunum sistemini oluşturan yapı ve organların görevlerini modeller kullanarak açıklar.";"F.6.2.3.4.
a. Kan gruplarında moleküler temellere girilmez.
b. Kan alışverişinin, uygulamalarda aynı gruplar arasında yapılması esas alındığından “genel alıcı” ve  “genel verici” ifadeleri kullanılmaz.
c. Rh faktörüne kısaca değinilir ancak kan uyuşmazlığına girilmez.

F.6.2.3.5.
a. Kızılay‘a vurgu yapılır.
b. Kan bağışı sırasında dikkat edilmesi gereken hijyene vurgu yapılır. 

F.6.2.4.1.
Gaz alışveriş mekanizması ve solunum gazlarının kandaki taşınımı anlatılmaz.";;;;
;;;;;;;;;;
KASIM;"9. Hafta:
 4-8 Kasım";"2+2
";"2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER";"
6.2.4. Solunum Sistemi

6.2.5. Boşaltım Sistemi";"F.6.2.4.1. Solunum sistemini oluşturan yapı ve organların görevlerini modeller kullanarak açıklar.

F.6.2.5.1. Boşaltım sistemini oluşturan yapı ve organları model üzerinde göstererek görevlerini özetler.";"
F.6.2.4.1.
Gaz alışveriş mekanizması ve solunum gazlarının kandaki taşınımı anlatılmaz.

F.6.2.5.1.
a. Böbreklerin boşaltım sistemindeki görev ve önemi vurgulanır fakat böbreğin ayrıntılı yapısı (nefron,  kabuk, havuzcuk, öz vb.) verilmez.
b. Kalın bağırsak, deri ve akciğerin yapısına girilmeden görevleri özetlenir.";;;Atatürk Haftası;
;;;;;;;;;;
1.  DÖNEM ARA TATİLİ: 11 - 15 Kasım;;;;;;;;;;
KASIM;"10. Hafta:
18-22 Kasım";2+2;"2.ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER

3.ÜNİTE: KUVVET VE HAREKET";"6.2.5. Boşaltım Sistemi

6.3.1. Bileşke Kuvvet";"F.6.2.5.1. Boşaltım sistemini oluşturan yapı ve organları model üzerinde göstererek görevlerini özetler.

F.6.3.1.1. Bir cisme etki eden kuvvetin yönünü, doğrultusunu ve büyüklüğünü çizerek gösterir.
";"F.6.2.5.1.
a. Böbreklerin boşaltım sistemindeki görev ve önemi vurgulanır fakat böbreğin ayrıntılı yapısı (nefron, kabuk, havuzcuk, öz vb.) verilmez.
b. Kalın bağırsak, deri ve akciğerin yapısına girilmeden görevleri özetlenir.


";;;24 Kasım Öğretmenler Günü;
;"11. Hafta:
25-29 Kasım";"4
";3.ÜNİTE: KUVVET VE HAREKET;6.3.1. Bileşke Kuvvet;"F.6.3.1.2. Bir cisme etki eden birden fazla kuvveti deneyerek gözlemler. 

";"F.6.3.1.2. 
Aynı doğrultudaki kuvvetlerin bileşkesi üzerinde durulur. Doğrultuları farklı kuvvetlerin bileşkesine  girilmez.";;;;
ARALIK;"12. Hafta:
02-06 Aralık";2+2;3.ÜNİTE: KUVVET VE HAREKET;"6.3.1. Bileşke Kuvvet

6.3.2. Sabit Süratli Hareket";"F.6.3.1.3. Dengelenmiş ve dengelenmemiş kuvvetleri, cisimlerin hareket durumlarını gözlemleyerek karşılaştırır.

F.6.3.2.1. Sürati tanımlar ve birimini ifade eder.
";"F.6.3.2.1.
a. Sürat birimleri olarak metre/saniye (m/sn.) ve kilometre/saat (km/sa.) dikkate alınır. 
b. Yer değiştirme ve hız kavramlarına girilmez. 
c. Matematiksel bağıntılara girilmez.
ç. Birim dönüştürme yaptırılmaz.";;;3 Aralık Dünya Engelliler Günü;
;"13. Hafta:
09-13 Aralık";"4
";"3.ÜNİTE: KUVVET VE HAREKET
";6.3.2. Sabit Süratli Hareket;"F.6.3.2.2. Yol, zaman ve sürat arasındaki ilişkiyi grafik üzerinde gösterir.
";;;;;
;"14. Hafta:
16-20 Aralık";2+2;4.ÜNİTE: MADDE VE ISI;"6.4.1. Maddenin Tanecikli Yapısı
";"F.6.4.1.1. Maddelerin; tanecikli, boşluklu ve hareketli yapıda olduğunu ifade eder.

F.6.4.1.2. Hâl değişimine bağlı olarak maddenin tanecikleri arasındaki boşluk ve taneciklerin hareketliliğinin  değiştiğini deney yaparak karşılaştırır.


";"F.6.4.1.1. 
Hareketli yapı ile ilgili titreşim, öteleme ve dönme kavramlarına değinilir.

";;;;
;;;;;;;;;;
;"15. Hafta:
23-27 Aralık";2+2;"4.ÜNİTE: MADDE VE 
ISI";"6.4.1. Maddenin Tanecikli Yapısı

6.4.2.Yoğunluk";"F.6.4.1.2. Hâl değişimine bağlı olarak maddenin tanecikleri arasındaki boşluk ve taneciklerin hareketliliğinin  değiştiğini deney yaparak karşılaştırır.

6.4.2.1. Yoğunluğu tanımlar.";"F.6.4.2.1.
a. Yoğunluğun madde için ayırt edici bir özellik olduğu vurgulanır.
b. Yoğunluk birimi olarak g/cm3 kullanılır.
";;;;
OCAK;"16. Hafta:
 30 Aralık -03 Ocak";SINAV HAFTASI;;;;;;;;
;;2+2;"4.ÜNİTE: MADDE VE 
ISI";6.4.2.Yoğunluk;"F.6.4.2.2. Tasarladığı deneyler sonucunda çeşitli maddelerin yoğunluklarını hesaplar.

F.6.4.2.3. Birbiri içinde çözünmeyen sıvıların yoğunluklarını deney yaparak karşılaştırır.";;;;;
;"17. Hafta:
 06-10 Ocak";2+2;"4.ÜNİTE: MADDE VE 
ISI";"6.4.2.Yoğunluk

6.4.3. Madde ve Isı
";"F.6.4.2.4. Suyun katı ve sıvı hâllerine ait yoğunlukları karşılaştırarak bu durumun canlılar için önemini tartışır.

F.6.4.3.1. Maddeleri, ısı iletimi bakımından sınıflandırır.";;;;;
;"18. Hafta:
 13-17 Ocak";2+2;"4.ÜNİTE: MADDE VE 
ISI";6.4.3. Madde ve Isı;"F.6.4.3.2. Binalarda kullanılan ısı yalıtım malzemelerinin seçilme ölçütlerini belirler.

F.6.4.3.3. Alternatif ısı yalıtım malzemeleri geliştirir.";;;;;
YARIYIL TATİLİ: 20 Ocak - 31 Ocak 2025;;;;;;;;;;
ŞUBAT;"19. Hafta:
03-07 Şubat";2+2;"4.ÜNİTE: MADDE VE 
ISI";"6.4.3. Madde ve Isı

6.4.4. Yakıtlar";"F.6.4.3.4. Binalarda ısı yalıtımının önemini, aile ve ülke ekonomisi ve kaynakların etkili kullanımı bakımından tartışır.

F.6.4.4.1. Yakıtları, katı, sıvı ve gaz yakıtlar olarak sınıflandırıp yaygın şekilde kullanılan yakıtlara örnekler verir.";"F.6.4.4.1.
Fosil yakıtların sınırlı olduğu ve yenilenemez enerji kaynaklarından biri olduğu belirtilir ve yenilenebilir enerji kaynaklarının önemi örnekler verilerek vurgulanır.";;;;
;"20. Hafta:
10-14 Şubat";2+2;"4.ÜNİTE:MADDE VE 
ISI";6.4.4. Yakıtlar;"F.6.4.4.2. Farklı türdeki yakıtların ısı amaçlı kullanımının, insan ve çevre üzerine etkilerini tartışır.

F.6.4.4.3. Soba ve doğal gaz zehirlenmeleri ile ilgili alınması gereken tedbirleri araştırır ve rapor eder.";;;;;
;"21. Hafta:
17-21 Şubat";"4
";5.ÜNİTE: SES VE ÖZELLİKLERİ ;6.5.1. Sesin Yayılması;F.6.5.1.1. Sesin yayılabildiği ortamları tahmin eder ve tahminlerini test eder.;;;;;
;"22. Hafta:
 24-28 Şubat";"4
";5.ÜNİTE: SES VE ÖZELLİKLERİ ;"

6.5.2. Sesin Farklı Ortamlarda Farklı Duyulması


";F.6.5.2.1. Ses kaynağının değişmesiyle seslerin farklı işitildiğini deneyerek keşfeder.;"




";;;;
;;;;;;;;;;
MART;"23. Hafta:
 3-7 Mart";2+2;5.ÜNİTE: SES VE ÖZELLİKLERİ ;"6.5.2. Sesin Farklı Ortamlarda Farklı Duyulması

6.5.3. Sesin Sürati
";"F.6.5.2.2. Sesin yayıldığı ortamın değişmesiyle farklı işitildiğini deneyerek keşfeder.

F.6.5.3.1. Sesin farklı ortamlardaki süratini karşılaştırır.";"F.6.5.2.2. 
Frekans kavramına girilmez.

F.6.5.3.1.
a. Sesin boşlukta neden yayılmadığı belirtilir.
b. Işık ve sesin havadaki sürati; şimşek, yıldırım ve gök gürültüsü olayları üzerinden karşılaştırılır.
c. Sesin bir enerji türü olduğuna değinilir.";;;;
;;;;;;;;;;
;"24. Hafta:
 10-14 Mart";2+2;5.ÜNİTE: SES VE ÖZELLİKLERİ ;"6.5.3. Sesin Sürati

6.5.4. Sesin Maddeyle Etkileşmesi";"F.6.5.3.1. Sesin farklı ortamlardaki süratini karşılaştırır.

F.6.5.4.1. Sesin yansıma ve soğurulmasına örnekler verir.";"F.6.5.3.1.
a. Sesin boşlukta neden yayılmadığı belirtilir.
b. Işık ve sesin havadaki sürati; şimşek, yıldırım ve gök gürültüsü olayları üzerinden karşılaştırılır.
c. Sesin bir enerji türü olduğuna değinilir.";;;İstiklâl Marşı'nın Kabulü ve Mehmet Akif Ersoy'u Anma Günü (12 Mart);
;"25. Hafta:
 17-21 Mart";SINAV HAFTASI;;;;;;;"Şehitler Günü (18 Mart)
Türk Dünyası ve Toplulukları Haftası ";
;;2+1+1;5.ÜNİTE: SES VE ÖZELLİKLERİ ;6.5.4. Sesin Maddeyle Etkileşmesi;"F.6.5.4.2. Sesin yayılmasını önlemeye yönelik tahminlerde bulunur ve tahminlerini test eder.

F.6.5.4.3. Ses yalıtımının önemini açıklar.

F.6.5.4.4. Akustik uygulamalarına örnekler verir.";"F.6.5.4.3.
Ses yalıtımı için geliştirilen teknolojik ve mimari uygulamalara değinilir.

F.6.5.4.4. 
Modern ve kültürel mimarideki uygulamalara vurgu yapılır. Örneğin Süleymaniye Camii’nin akustik mimarisine atıf yapılır.";;;;
;"26. Hafta:
 24-28 Mart";2+2;"5.ÜNİTE: SES VE ÖZELLİKLERİ 

6. ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER VE SAĞLIĞI";"6.5.4. Sesin Maddeyle Etkileşmesi

6.6.1. Denetleyici ve Düzenleyici Sistemler";"F.6.5.4.5. Sesin yalıtımı veya akustik uygulamalarına örnek teşkil edecek ortam tasarımı yapar.

F.6.6.1.1. Sinir sistemini, merkezî ve çevresel sinir sisteminin görevlerini model üzerinde açıklar.";"F.6.6.1.1.
a. Merkezî sinir sistemi beyin ve omurilik olarak ayrılır. Beynin bölümlerine değinilmez. Omurilik soğanı, beyincik ve omuriliğin sadece görevleri verilir.
b. Belirtilen sinir sistemi kısımlarının ayrıntılı yapısına girilmez.
c. Reflekslere ayrıntıya girilmeden değinilir.";;;;
;;;;;;;;;;
2. DÖNEM ARA TATİLİ: 31 Mart - 4 Nisan;;;;;;;;;;
NİSAN;"27. Hafta:
 7-11 Nisan";2+2;"6. ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER VE SAĞLIĞI";6.6.1. Denetleyici ve Düzenleyici Sistemler;"F.6.6.1.1. Sinir sistemini, merkezî ve çevresel sinir sisteminin görevlerini model üzerinde açıklar.

F.6.6.1.2. İç salgı bezlerinin vücut için önemini fark eder.";"F.6.6.1.1.
a. Merkezî sinir sistemi beyin ve omurilik olarak ayrılır. Beynin bölümlerine değinilmez. Omurilik soğanı, beyincik ve omuriliğin sadece görevleri verilir.
b. Belirtilen sinir sistemi kısımlarının ayrıntılı yapısına girilmez.
c. Reflekslere ayrıntıya girilmeden değinilir.

F.6.6.1.2. 
a. İç salgı bezlerinin yapılarına girilmez.
b. Büyüme, tiroksin, adrenalin, glukagon ve insülin hormonuna değinilir.
c. Hormonal değişikliklerin ergenlik ile ilişkisine değinilir.";;;;
;"28. Hafta:
 14-18 Nisan";2+1+1;"6. ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER VE SAĞLIĞI";6.6.1. Denetleyici ve Düzenleyici Sistemler;"F.6.6.1.2. İç salgı bezlerinin vücut için önemini fark eder.

F.6.6.1.3. Çocukluktan ergenliğe geçişte oluşan bedensel ve ruhsal değişimleri açıklar.

F.6.6.1.4. Ergenlik döneminin sağlıklı bir şekilde geçirilebilmesi için nelerin yapılabileceğini, araştırma verilerine
dayalı olarak tartışır.";"F.6.6.1.2. 
a. İç salgı bezlerinin yapılarına girilmez.
b. Büyüme, tiroksin, adrenalin, glukagon ve insülin hormonuna değinilir.
c. Hormonal değişikliklerin ergenlik ile ilişkisine değinilir.

F.6.6.1.3.
Diğer gelişim dönemleri ve özellikleri verilmez.";;;;
;;;;;;;;;;
;"29. Hafta:
 21-25 Nisan";1+1+1+1;"6. ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER VE SAĞLIĞI";"6.6.1. Denetleyici ve Düzenleyici Sistemler

6.6.2.Duyu Organları";"F.6.6.1.5. Denetleyici ve düzenleyici sistemlerin vücudumuzdaki diğer sistemlerin düzenli ve eş güdümlü çalışmasına olan etkisini tartışır.

F.6.6.2.1. Duyu organlarına ait yapıları model üzerinde göstererek açıklar.

F.6.6.2.2. Koku alma ve tat alma duyuları arasındaki ilişkiyi, tasarladığı bir deneyle gösterir.

F.6.6.2.3. Duyu organlarındaki kusurlara ve bu kusurların giderilmesinde kullanılan teknolojilere örnekler verir.";"F.6.6.2.1.
Duyu organlarının ayrıntılı yapılarına girilmez.

F.6.6.2.3. 
a. Göz kusurlarından miyopluk, hipermetropluk, astigmatlık ve şaşılığın sebeplerine değinilmeden tedavi yöntemleri kısaca açıklanır.
b. Görme ve işitme engelli bireylerin yaşamlarını kolaylaştıran teknolojiler vurgulanır.";;;23 Nisan Ulusal Egemenlik ve Çocuk Bayramı;
;"30. Hafta:
 28 Nisan-2 Mayıs";1+2+1;"6. ÜNİTE: VÜCUDUMUZDAKİ
 SİSTEMLER VE SAĞLIĞI

";"6.6.2.Duyu Organları

6.6.3.Sistemlerin Sağlığı";"F.6.6.2.4. Duyu organlarının sağlığını korumak için alınması gereken tedbirleri tartışır.

F.6.6.3.1. Sistemlerin sağlığı için yapılması gerekenleri araştırma verilerine dayalı olarak tartışır.

F.6.6.3.2. Organ bağışının toplumsal dayanışma açısından önemini kavrar.";"F.6.6.3.1. 
a. Sistem hastalıklarından Türkiye’de en sık rastlanan hastalıklara değinilir.
b. Bilinçsiz ilaç kullanımının zararları vurgulanır.
c. Alkol ve sigara gibi zararlı alışkanlıkların insan sağlığına etkilerine değinilir. Alkol ve sigara ile mücadelede Yeşilaya vurgu yapılır.
ç. İlk yardım ile ilgili temel bilgiler verilir.";;;      29 Nisan Kût'ül Amâre Zaferi                1 Mayıs Emek ve Dayanışma Günü;
MAYIS;"31. Hafta:
 5-9 Mayıs";2+2;"7. ÜNİTE:
ELEKTRİĞİN İLETİMİ";6.7.1. İletken ve Yalıtkan Maddeler;"F.6.7.1.1. Tasarladığı elektrik devresini kullanarak maddeleri, elektriği iletme durumlarına göre sınıflandırır.

F.6.7.1.2. Maddelerin elektriksel iletkenlik ve yalıtkanlık özelliklerinin günlük yaşamda hangi amaçlar için kullanıldığını
örneklerle açıklar.";;;;;
;;;;;;;;;;
;"32. Hafta:
 12-16 Mayıs";"4
";"7. ÜNİTE:
ELEKTRİĞİN İLETİMİ";6.7.2. Elektriksel Direnç ve Bağlı Olduğu Faktörler;"F.6.7.2.1. Bir elektrik devresindeki ampulün parlaklığının bağlı olduğu değişkenleri tahmin eder ve tahminlerini
deneyerek test eder.";"F.6.7.2.1. 
a. Ampulün parlaklığının değiştirilmesinde devredeki iletkenin uzunluğu, dik kesit alanı ve iletkenin cinsi değişkenleri üzerinde durulur.
b. Elektriksel direnç ve bağlı olduğu faktörlerle ilgili olarak matematiksel bağıntıya girilmez.";;;;
;"33. Hafta:
 19-23 Mayıs";2+2;"7. ÜNİTE:
ELEKTRİĞİN İLETİMİ";6.7.2. Elektriksel Direnç ve Bağlı Olduğu Faktörler;"F.6.7.2.2. Elektriksel direnci tanımlar.

F.6.7.2.3. Ampulün içindeki telin bir direncinin olduğunu fark eder.";"F.6.7.2.2.
a. Ohm Yasası’na girilmez.
b. Elektriksel direnç, “maddelerin, elektrik enerjisinin iletimine karşı gösterdikleri zorluk” olarak tanımlanır.
c. Akım kavramına girilmez.
ç. Direncin büyüklüğünün ölçülmesine ve birimine girilmez.";;;19 Mayıs Atatürk'ü Anma ve Gençlik ve Spor Bayramı;
;"34. Hafta:
 26-30 Mayıs";"4
";FEN, MÜHENDİSLİK VE GİRİŞİMCİLİK UYGULAMALARI;"Yıl Sonu Bilim Şenliği
(Öğrencilerin yıl içerisinde ortaya çıkardıkları ürünü etkili bir şekilde sunmaları beklenir.)";;Öğrencilerin yıl içerisinde ortaya çıkardıkları ürünü etkili bir şekilde sunmaları ;;;İstanbul'un Fethi (29 Mayıs);
HAZİRAN;"35. Hafta:
 2-6 Haziran";SINAV HAFTASI;;;;;;;;
;;"4
";FEN, MÜHENDİSLİK VE GİRİŞİMCİLİK UYGULAMALARI;"Yıl Sonu Bilim Şenliği
(Öğrencilerin yıl içerisinde ortaya çıkardıkları ürünü etkili bir şekilde sunmaları beklenir.)";;Öğrencilerin yıl içerisinde ortaya çıkardıkları ürünü etkili bir şekilde sunmaları ;;;;
;;;;;;;;;;
;"36. Hafta:
 9-13 Haziran";"4
";FEN, MÜHENDİSLİK VE GİRİŞİMCİLİK UYGULAMALARI;"Yıl Sonu Bilim Şenliği
(Öğrencilerin yıl içerisinde ortaya çıkardıkları ürünü etkili bir şekilde sunmaları beklenir.)";;Yıl içinde yapılan çalışmaların sınıf sergisi şeklinde sergilenmesi;;;;
;;;;;;;;;;
;"37. Hafta:
 16-20 Haziran";SOSYAL ETKİNLİK;;;;;;;;
;"Bu yıllık plan; 19.09.2022 tarih ve 58168473 sayılı ""Millî Eğitim Bakanlığı Eğitim Öğretim Çalışmalarının Planlı Yürütülmesine İlişkin Yönerge"",  2104 sayılı Tebliğler Dergisi “İlköğretim ve Ortaöğretim Kurumlarında Atatürk İnkılap ve İlkelerinin Öğretim Esasları Yönergesi “, Talim ve Terbiye Kurulu’nun 19.01.2018 tarih ve 11 sayılı  Kurul Kararı eki ""İlkokul (3-4.Sınıflar), Ortaokul ve İmam Hatip Ortaokulu (5-8.Sınıflar) Fen Bilimleri Dersi Öğretim Programı"", ""M.E.B. 2023-2024 Eğitim ve Öğretim Yılı Çalışma Takvimi Genelgesi"" ile Talim ve Terbiye Kurulu’nun 24.08.2023 tarih ve 43 sayılı Kurul Kararı eki ""İlköğretim Kurumları (İlkokul ve Ortaokul) Haftalık Ders Çizelgesi "" esas alınarak hazırlanmıştır.";;;;;;;;;